Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
08-31-18,Portsmouth,VA,Passenger,0,1,1,76,77,1.30
February 29 2024,Kitsap,WA,Truck,119,0,119,"0.0,928",50.0000047,0.24
12-31-18,Grays Harbor,WA,Truck,0,0,0,"20.0,354","20.0,354",0.00
07-31-17,San Juan,WA,Truck,0,0,0,"5.0,545","5.0,545",0.00
01-31-22,Benton,WA,Passenger,652,453,1.00000005,"135.0,875",136.000000000,0.81
04-30-19,Palm Beach,FL,Passenger,0,2,2,90,92,2.17
06-30-22,San Luis Obispo,CA,Passenger,1,0,1,60,61,1.64
10-31-23,Polk,OR,Passenger,1,1,2,12,14,14.29
February 28 2023,Maui,HI,Passenger,1,0,1,24,25,4.00
February 28 2023,Harford,MD,Passenger,1,1,2,42,44,4.55
10-31-19,Clallam,WA,Truck,1,0,1,21.000000000,"21.0,841",0.00
11-30-17,Thurston,WA,Truck,0,0,0,53.000000000,53.000000000,0.00
12-31-20,Charles,MD,Passenger,1,1,2,74,76,2.63
04-30-22,York,VA,Passenger,1,0,1,91,92,1.09
11-30-23,Newport News,VA,Passenger,1,0,1,95,96,1.04
07-31-19,Middlesex,MA,Passenger,1,1,2,115,117,1.71
12-31-22,Maui,HI,Passenger,1,0,1,27,28,3.57
08-31-19,Lee,FL,Passenger,1,0,1,51,52,1.92
05-31-23,Marion,IA,Passenger,1,0,1,0,1,100.00
01-31-17,Skamania,WA,Passenger,7,7,14,"8.0,547","8.0,561",0.16
05-31-18,Riverside,CA,Passenger,2,2,4,702,706,0.57
05-31-21,Asotin,WA,Passenger,19,14,33,"0.0,692","0.0,725",0.26
08-31-18,Riverside,CA,Passenger,2,2,4,691,695,0.58
03-31-19,Pacific,WA,Passenger,23,26,49,"15.0,845","15.0,894",0.31
07-31-17,Lewis,WA,Truck,0,0,0,"0.0,920","0.0,920",0.00
05-31-23,Onslow,NC,Passenger,0,1,1,147,148,0.68
04-30-23,Allen,IN,Passenger,1,0,1,15,16,6.25
10-31-22,Parker,TX,Passenger,0,1,1,20,21,4.76
04-30-20,Putnam,TN,Passenger,0,1,1,3,4,25.00
09-30-22,Ray,MO,Passenger,0,1,1,1,2,50.00
03-31-22,DeKalb,GA,Passenger,1,0,1,56,57,1.75
11-30-20,Asotin,WA,Passenger,17,14,31,12.00000004,"12.0,435",0.25
04-30-21,Sedgwick,KS,Passenger,1,1,2,91,93,2.15
01-31-20,Douglas,WA,Passenger,69,39,108,"0.0,362",28.000000000,0.38
01-31-22,Thurston,WA,Truck,3,0,3,"55.0,866","55.0,869",0.01
07-31-22,Kitsap,WA,Truck,13,0,13,"53.0,331","53.0,344",0.02
10-31-17,Los Angeles,CA,Passenger,4,2,6,"0.0,246","0.0,252",0.48
07-31-23,Alexandria,VA,Passenger,3,1,4,85,89,4.49
08-31-19,Jefferson,NY,Passenger,0,2,2,219,221,0.90
12-31-21,Platte,MO,Passenger,1,0,1,20,21,4.76
12-31-19,Tulsa,OK,Passenger,1,1,2,52,54,3.70
February 28 2018,Marin,CA,Passenger,1,0,1,55,56,1.79
10-31-23,Lincoln,OR,Passenger,0,1,1,13,14,7.14
